Date,From,Latitude,Longitude,To
1/15/16,San Francisco / San Francisco International (SFO/KSFO),,,New York / John F Kennedy (JFK/KJFK)
1/16/16,New York / John F Kennedy (JFK/KJFK),,,Philadelphia / Philadelphia (PHL/KPHL)
2009-08,Boston / Logan (BOS/KBOS),,,Salt Lake City / Salt Lake City (SLC/KSLC)
2009-08,Salt Lake City / Salt Lake City (SLC/KSLC),,,Bozeman / Gallatin Field (BZN/KBZN)
2009-11,Bozeman / Gallatin Field (BZN/KBZN),,,Minneapolis / St Paul (MSP/KMSP)
2009-11,Minneapolis / St Paul (MSP/KMSP),,,Boston / Logan (BOS/KBOS)
2009-11,Boston / Logan (BOS/KBOS),,,Minneapolis / St Paul (MSP/KMSP)
2009-12,Bozeman / Gallatin Field (BZN/KBZN),,,Denver / Denver (DEN/KDEN)
2009-12,Denver / Denver (DEN/KDEN),,,Boston / Logan (BOS/KBOS)
2010-01,Boston / Logan (BOS/KBOS),,,Denver / Denver (DEN/KDEN)
2010-01,Denver / Denver (DEN/KDEN),,,Bozeman / Gallatin Field (BZN/KBZN)
2010-02,Bozeman / Gallatin Field (BZN/KBZN),,,Denver / Denver (DEN/KDEN)
2010-02,Denver / Denver (DEN/KDEN),,,Boston / Logan (BOS/KBOS)
2010-02,Boston / Logan (BOS/KBOS),,,Denver / Denver (DEN/KDEN)
2010-02,Denver / Denver (DEN/KDEN),,,Bozeman / Gallatin Field (BZN/KBZN)
